CALLING_NUM,CALLED NUMBER, START TIME, END TIME, CALL TYPE, CHARGE, CALL RESULT
8131166797,3470914600,2016-03-04T00:10:05.681+05:30,2016-03-04T00:10:05.681+05:30,SMS,0.8428941,ANSWERED
8131166797,3539212588,2016-01-17T07:28:39.157+05:30,2016-01-17T07:31:25.587+05:30,VOICE,0.52268726,ANSWERED
8131166797,3976557336,2016-03-05T18:44:51.669+05:30,2016-03-05T18:44:51.669+05:30,SMS,0.92834604,ANSWERED
8131166797,4794533137,2016-02-02T09:30:57.015+05:30,2016-02-02T09:33:30.020+05:30,VOICE,0.4371317,ANSWERED
8131166797,5596524704,2016-01-27T01:56:35.448+05:30,2016-01-27T01:59:23.904+05:30,VOICE,0.40826023,ANSWERED
8131166797,4229486404,2016-01-22T07:51:16.941+05:30,2016-01-22T07:51:16.941+05:30,SMS,0.6248307,ANSWERED
8131166797,9163944393,2016-03-02T00:07:07.179+05:30,2016-03-02T00:09:22.678+05:30,VOICE,0.09043157,DENINED
8131166797,2751071043,2016-02-19T21:09:14.280+05:30,2016-02-19T21:11:45.164+05:30,VOICE,0.19128877,DENINED
8131166797,8504596517,2016-01-29T01:26:11.234+05:30,2016-01-29T01:28:23.702+05:30,VOICE,0.5474914,ANSWERED
8131166797,9413615188,2016-01-27T08:14:58.783+05:30,2016-01-27T08:14:58.783+05:30,SMS,0.36705214,ANSWERED
8131166797,1071273179,2016-02-06T05:30:17.333+05:30,2016-02-06T05:32:28.604+05:30,VOICE,0.672031,ANSWERED
8131166797,5471126090,2016-03-01T02:06:18.860+05:30,2016-03-01T02:06:18.860+05:30,SMS,0.22748524,ANSWERED
8131166797,9889461894,2016-02-06T15:32:29.473+05:30,2016-02-06T15:32:29.473+05:30,SMS,0.41556,ANSWERED
3939939393,3539212588,2016-03-04T00:10:05.681+05:30,2016-03-04T00:10:05.681+05:30,SMS,0.8428941,ANSWERED
3939939393,3569212588,2016-01-17T07:28:39.157+05:30,2016-01-17T07:31:25.587+05:30,VOICE,0.52268726,ANSWERED
3939939393,3857557336,2016-03-05T18:44:51.669+05:30,2016-03-05T18:44:51.669+05:30,SMS,0.92834604,ANSWERED
3939939393,4794537437,2016-02-02T09:30:57.015+05:30,2016-02-02T09:33:30.020+05:30,VOICE,0.4371317,ANSWERED
3939939393,5596536574,2016-01-27T01:56:35.448+05:30,2016-01-27T01:59:23.904+05:30,VOICE,0.40826023,ANSWERED
3939939393,4000086404,2016-01-22T07:51:16.941+05:30,2016-01-22T07:51:16.941+05:30,SMS,0.6248307,ANSWERED
3939939393,9111114393,2016-03-02T00:07:07.179+05:30,2016-03-02T00:09:22.678+05:30,VOICE,0.09043157,DENINED
3939939393,2752221043,2016-02-19T21:09:14.280+05:30,2016-02-19T21:11:45.164+05:30,VOICE,0.19128877,DENINED
3939939393,8504533517,2016-01-29T01:26:11.234+05:30,2016-01-29T01:28:23.702+05:30,VOICE,0.5474914,ANSWERED
3939939393,9445455188,2016-01-27T08:14:58.783+05:30,2016-01-27T08:14:58.783+05:30,SMS,0.36705214,ANSWERED
3939939393,1076963179,2016-02-06T05:30:17.333+05:30,2016-02-06T05:32:28.604+05:30,VOICE,0.672031,ANSWERED
3939939393,5479173090,2016-03-01T02:06:18.860+05:30,2016-03-01T02:06:18.860+05:30,SMS,0.22748524,ANSWERED
3939939393,9883691897,2016-02-06T15:32:29.473+05:30,2016-02-06T15:32:29.473+05:30,SMS,0.41556,ANSWERED
9999999999,6565656565,2016-03-04T00:10:05.681+05:30,2016-03-04T00:10:05.681+05:30,SMS,0.8428941,ANSWERED
9999999999,4545454545,2016-01-17T07:28:39.157+05:30,2016-01-17T07:31:25.587+05:30,VOICE,0.52268726,ANSWERED
9999999999,3539212588,2016-03-05T18:44:51.669+05:30,2016-03-05T18:44:51.669+05:30,SMS,0.92834604,ANSWERED
9999999999,2323232322,2016-02-02T09:30:57.015+05:30,2016-02-02T09:33:30.020+05:30,VOICE,0.4371317,ANSWERED
9999999999,8585858585,2016-01-27T01:56:35.448+05:30,2016-01-27T01:59:23.904+05:30,VOICE,0.40826023,ANSWERED
9999999999,9494949494,2016-01-22T07:51:16.941+05:30,2016-01-22T07:51:16.941+05:30,SMS,0.6248307,ANSWERED
8888855555,1234567890,2016-03-02T00:07:07.179+05:30,2016-03-02T00:09:22.678+05:30,VOICE,0.09043157,DENINED
8888855555,9847854316,2016-02-19T21:09:14.280+05:30,2016-02-19T21:11:45.164+05:30,VOICE,0.19128877,DENINED
8888855555,3516548943,2016-03-02T00:07:07.179+05:30,2016-03-02T00:09:22.678+05:30,VOICE,0.09043157,DENINED
8888855555,1346847652,2016-02-19T21:09:14.280+05:30,2016-02-19T21:11:45.164+05:30,VOICE,0.19128877,DENINED
8888855555,9684756131,2016-03-02T00:07:07.179+05:30,2016-03-02T00:09:22.678+05:30,VOICE,0.09043157,DENINED
8888855555,2121124747,2016-02-19T21:09:14.280+05:30,2016-02-19T21:11:45.164+05:30,VOICE,0.19128877,DENINED
8888855555,9165483,2016-03-02T00:07:07.179+05:30,2016-03-02T00:09:22.678+05:30,VOICE,0.09043157,DENINED
8888855555,27571043,2016-02-19T21:09:14.280+05:30,2016-02-19T21:11:45.164+05:30,VOICE,0.19128877,DENINED
